angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.03,,"[234, 168, 117, 145]",,0.0,,0.01,,0.55,,0.35,,0.06,,0.0,
0.04,0.15,"[234, 168, 118, 144]","[365, 234, 21, 28]",0.0,0.0,0.01,0.2,0.08,0.05,0.72,0.16,0.16,0.33,0.0,0.11
0.01,,"[233, 168, 119, 141]",,0.0,,0.01,,0.03,,0.9,,0.04,,0.0,
0.02,,"[237, 168, 115, 141]",,0.0,,0.02,,0.04,,0.86,,0.05,,0.01,
0.05,,"[238, 169, 115, 140]",,0.0,,0.04,,0.03,,0.7,,0.18,,0.01,
0.01,,"[240, 170, 118, 142]",,0.0,,0.01,,0.02,,0.9,,0.04,,0.01,
0.03,,"[237, 165, 122, 144]",,0.0,,0.02,,0.01,,0.78,,0.16,,0.0,
0.03,,"[239, 167, 119, 142]",,0.0,,0.01,,0.02,,0.83,,0.1,,0.0,
0.03,,"[244, 165, 114, 142]",,0.0,,0.02,,0.21,,0.44,,0.28,,0.0,
0.1,,"[250, 167, 119, 147]",,0.0,,0.02,,0.05,,0.51,,0.32,,0.0,
0.03,,"[250, 165, 120, 146]",,0.0,,0.01,,0.06,,0.84,,0.07,,0.0,
0.15,,"[249, 167, 119, 146]",,0.0,,0.02,,0.02,,0.61,,0.2,,0.0,
0.17,,"[249, 166, 119, 147]",,0.0,,0.02,,0.01,,0.56,,0.24,,0.0,
0.12,,"[249, 168, 119, 141]",,0.0,,0.02,,0.03,,0.66,,0.16,,0.0,
0.13,,"[253, 170, 116, 141]",,0.0,,0.07,,0.03,,0.53,,0.24,,0.0,
0.11,,"[254, 168, 116, 143]",,0.0,,0.07,,0.01,,0.42,,0.39,,0.0,
0.11,,"[250, 163, 118, 144]",,0.0,,0.05,,0.01,,0.54,,0.28,,0.01,
0.08,,"[253, 161, 115, 147]",,0.0,,0.05,,0.01,,0.5,,0.36,,0.0,
0.13,,"[252, 162, 113, 141]",,0.0,,0.03,,0.01,,0.58,,0.25,,0.01,
0.11,,"[250, 159, 117, 146]",,0.0,,0.03,,0.01,,0.52,,0.32,,0.0,
0.07,,"[250, 158, 117, 145]",,0.0,,0.03,,0.01,,0.72,,0.16,,0.01,
0.04,,"[249, 160, 117, 144]",,0.0,,0.08,,0.01,,0.64,,0.23,,0.01,
0.04,,"[242, 156, 127, 150]",,0.0,,0.04,,0.01,,0.74,,0.16,,0.01,
0.07,,"[252, 159, 120, 147]",,0.0,,0.09,,0.02,,0.54,,0.26,,0.02,
0.08,,"[254, 159, 120, 149]",,0.0,,0.02,,0.05,,0.62,,0.22,,0.0,
0.06,,"[257, 161, 118, 148]",,0.0,,0.04,,0.07,,0.6,,0.22,,0.01,
0.04,,"[260, 165, 119, 150]",,0.0,,0.02,,0.14,,0.66,,0.12,,0.01,
0.04,,"[259, 163, 121, 152]",,0.0,,0.02,,0.04,,0.78,,0.12,,0.0,
0.03,,"[259, 165, 120, 150]",,0.0,,0.02,,0.07,,0.77,,0.11,,0.0,
0.04,,"[259, 164, 121, 151]",,0.0,,0.02,,0.05,,0.74,,0.15,,0.01,
0.12,,"[261, 165, 119, 148]",,0.0,,0.03,,0.04,,0.39,,0.41,,0.0,
0.04,,"[258, 162, 122, 152]",,0.0,,0.02,,0.05,,0.59,,0.3,,0.0,
0.08,,"[258, 163, 119, 147]",,0.0,,0.02,,0.04,,0.6,,0.26,,0.0,
0.06,,"[257, 160, 120, 150]",,0.0,,0.03,,0.06,,0.52,,0.34,,0.0,
0.02,,"[255, 162, 120, 146]",,0.0,,0.02,,0.05,,0.79,,0.11,,0.0,
0.03,,"[250, 154, 121, 153]",,0.0,,0.03,,0.01,,0.76,,0.16,,0.0,
0.01,,"[247, 155, 125, 151]",,0.0,,0.02,,0.02,,0.92,,0.03,,0.0,
0.02,,"[249, 155, 123, 153]",,0.0,,0.04,,0.01,,0.83,,0.09,,0.01,
0.07,,"[248, 153, 126, 156]",,0.0,,0.04,,0.01,,0.65,,0.23,,0.0,
0.06,,"[243, 155, 128, 157]",,0.0,,0.04,,0.02,,0.49,,0.38,,0.0,
0.05,,"[248, 159, 121, 150]",,0.0,,0.02,,0.05,,0.54,,0.33,,0.0,
0.03,,"[246, 161, 125, 154]",,0.0,,0.02,,0.11,,0.66,,0.17,,0.0,
0.04,,"[246, 158, 127, 157]",,0.0,,0.01,,0.06,,0.71,,0.17,,0.0,
0.02,,"[247, 165, 122, 150]",,0.0,,0.01,,0.06,,0.83,,0.09,,0.0,
